Transaction ID,Date,Month,Quarter,Customer ID,SKU,Product Name,Category,Brand,Channel,Region,Quantity,Unit Price ($),Discount (%),Discount Amount ($),Revenue ($),COGS ($),Gross Profit ($),Payment Method,Order Status
TXN-100001,2023-06-08,June,Q2,CUST-1920,SKU-1048,Gym Bag,Sports & Outdoors,TrailBlaze,Mobile App,Southeast,2,78.84,15,23.65,134.03,95.36,38.67,Credit Card,Completed
TXN-100002,2023-02-07,February,Q1,CUST-2865,SKU-1015,Denim Jacket,Apparel,UrbanThread,Social Commerce,Canada,4,51.98,10,20.79,187.13,132.16,54.97,Buy Now Pay Later,Completed
TXN-100003,2023-07-24,July,Q3,CUST-1999,SKU-1045,Dumbbell Set,Sports & Outdoors,ActiveGear,Mobile App,Canada,4,94.76,5,18.95,360.09,315.28,44.81,Credit Card,Completed
TXN-100004,2023-04-01,April,Q2,CUST-4293,SKU-1049,Protein Shaker,Sports & Outdoors,TrailBlaze,Social Commerce,Northeast,4,89.62,0,0.0,358.48,152.52,205.96,Buy Now Pay Later,Completed
TXN-100005,2023-08-26,August,Q3,CUST-3734,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Marketplace,UK,4,124.26,0,0.0,497.04,210.48,286.56,Apple Pay,Cancelled
TXN-100006,2023-10-08,October,Q4,CUST-2826,SKU-1046,Cycling Gloves,Sports & Outdoors,ActiveGear,Mobile App,Canada,4,99.34,20,79.47,317.89,149.4,168.49,Apple Pay,Returned
TXN-100007,2023-11-23,November,Q4,CUST-2135,SKU-1016,Yoga Pants,Apparel,UrbanThread,Social Commerce,Canada,2,205.4,20,82.16,328.64,141.8,186.84,Debit Card,Completed
TXN-100008,2023-05-27,May,Q2,CUST-1960,SKU-1028,Throw Pillow,Home & Kitchen,HomeEase,Marketplace,Midwest,1,174.23,15,26.13,148.1,73.95,74.15,PayPal,Cancelled
TXN-100009,2023-04-29,April,Q2,CUST-2568,SKU-1005,Webcam,Electronics,TechPro,Mobile App,Canada,2,26.46,0,0.0,52.92,38.84,14.08,Debit Card,Completed
TXN-100010,2023-10-05,October,Q4,CUST-2908,SKU-1026,Dish Rack,Home & Kitchen,CozyCraft,Social Commerce,Northeast,4,106.06,0,0.0,424.24,133.68,290.56,Debit Card,Returned
TXN-100011,2023-10-22,October,Q4,CUST-2558,SKU-1024,Cutting Board,Home & Kitchen,HomeEase,Social Commerce,Northeast,1,118.07,20,23.61,94.46,39.7,54.76,PayPal,Completed
TXN-100012,2023-08-03,August,Q3,CUST-3204,SKU-1048,Gym Bag,Sports & Outdoors,TrailBlaze,Mobile App,Southwest,4,78.84,20,63.07,252.29,190.72,61.57,Debit Card,Completed
TXN-100013,2023-07-19,July,Q3,CUST-2376,SKU-1027,Storage Bins,Home & Kitchen,HomeEase,Social Commerce,Canada,4,34.48,0,0.0,137.92,76.96,60.96,Debit Card,Returned
TXN-100014,2023-10-31,October,Q4,CUST-3311,SKU-1008,LED Desk Lamp,Electronics,TechPro,Website,Northeast,1,81.6,5,4.08,77.52,29.32,48.2,Apple Pay,Completed
TXN-100015,2023-05-14,May,Q2,CUST-2552,SKU-1029,Scented Candle,Home & Kitchen,HomeEase,Marketplace,Southeast,2,124.77,0,0.0,249.54,139.28,110.26,Apple Pay,Completed
TXN-100016,2023-08-04,August,Q3,CUST-2033,SKU-1021,Air Fryer,Home & Kitchen,CozyCraft,Website,Southwest,4,98.51,0,0.0,394.04,220.68,173.36,Credit Card,Cancelled
TXN-100017,2023-11-29,November,Q4,CUST-1281,SKU-1003,Portable Charger,Electronics,TechPro,Website,UK,3,154.03,0,0.0,462.09,230.37,231.72,Credit Card,Completed
TXN-100018,2023-03-20,March,Q1,CUST-1977,SKU-1012,Hoodie,Apparel,UrbanThread,Mobile App,Southwest,1,16.95,10,1.7,15.25,9.76,5.49,Credit Card,Cancelled
TXN-100019,2023-05-12,May,Q2,CUST-4141,SKU-1013,Running Shorts,Apparel,PureWear,Marketplace,Southeast,4,84.95,15,50.97,288.83,212.28,76.55,Buy Now Pay Later,Cancelled
TXN-100020,2023-03-25,March,Q1,CUST-4951,SKU-1047,Hiking Socks,Sports & Outdoors,TrailBlaze,Marketplace,Northeast,1,75.69,20,15.14,60.55,35.63,24.92,Buy Now Pay Later,Completed
TXN-100021,2023-04-12,April,Q2,CUST-1311,SKU-1019,Canvas Tote Bag,Apparel,UrbanThread,Mobile App,Northeast,4,160.35,5,32.07,609.33,289.88,319.45,PayPal,Cancelled
TXN-100022,2023-09-30,September,Q3,CUST-2754,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Marketplace,Northeast,1,124.26,0,0.0,124.26,52.62,71.64,Buy Now Pay Later,Completed
TXN-100023,2023-09-08,September,Q3,CUST-1432,SKU-1000,Wireless Earbuds,Electronics,SoundWave,Social Commerce,Midwest,4,76.53,20,61.22,244.9,211.84,33.06,Apple Pay,Completed
TXN-100024,2023-09-25,September,Q3,CUST-4954,SKU-1027,Storage Bins,Home & Kitchen,HomeEase,Marketplace,West,2,34.48,15,10.34,58.62,38.48,20.14,Buy Now Pay Later,Returned
TXN-100025,2023-10-31,October,Q4,CUST-2099,SKU-1029,Scented Candle,Home & Kitchen,HomeEase,Marketplace,UK,4,124.77,20,99.82,399.26,278.56,120.7,Debit Card,Completed
TXN-100026,2023-08-26,August,Q3,CUST-3334,SKU-1017,Baseball Cap,Apparel,FitForm,Social Commerce,Midwest,4,56.33,0,0.0,225.32,165.8,59.52,Credit Card,Returned
TXN-100027,2023-04-19,April,Q2,CUST-2453,SKU-1020,Coffee Maker,Home & Kitchen,HomeEase,Marketplace,Midwest,2,24.9,5,2.49,47.31,43.04,4.27,PayPal,Cancelled
TXN-100028,2023-01-06,January,Q1,CUST-3116,SKU-1044,Foam Roller,Sports & Outdoors,SwiftSport,Mobile App,Northeast,3,144.95,10,43.48,391.37,231.57,159.8,Debit Card,Returned
TXN-100029,2023-09-01,September,Q3,CUST-3645,SKU-1031,SPF Moisturizer,Beauty & Personal Care,GlowLab,Social Commerce,Southwest,2,230.34,15,69.1,391.58,149.36,242.22,Credit Card,Completed
TXN-100030,2023-12-21,December,Q4,CUST-1996,SKU-1018,Sneakers,Apparel,FitForm,Marketplace,Canada,2,103.56,5,10.36,196.76,89.16,107.6,Buy Now Pay Later,Completed
TXN-100031,2023-10-09,October,Q4,CUST-2354,SKU-1030,Vitamin C Serum,Beauty & Personal Care,NatureSoft,Marketplace,Canada,3,54.64,5,8.2,155.72,60.96,94.76,Apple Pay,Completed
TXN-100032,2023-03-03,March,Q1,CUST-3954,SKU-1019,Canvas Tote Bag,Apparel,UrbanThread,Mobile App,Midwest,3,160.35,0,0.0,481.05,217.41,263.64,Credit Card,Cancelled
TXN-100033,2023-04-21,April,Q2,CUST-4025,SKU-1048,Gym Bag,Sports & Outdoors,TrailBlaze,Social Commerce,Midwest,2,78.84,0,0.0,157.68,95.36,62.32,Buy Now Pay Later,Cancelled
TXN-100034,2023-04-10,April,Q2,CUST-2213,SKU-1038,Hair Ties Pack,Beauty & Personal Care,LuxeGlow,Mobile App,Midwest,3,77.67,0,0.0,233.01,84.36,148.65,Debit Card,Completed
TXN-100035,2023-01-24,January,Q1,CUST-4990,SKU-1000,Wireless Earbuds,Electronics,SoundWave,Website,West,2,76.53,0,0.0,153.06,105.92,47.14,PayPal,Completed
